ID,Make,Model,Year,Mileage,HealthScore,LastService,ServiceType,MaintenanceCost
1,Honda,Accord,2024,56564,92,2026-04-19,Brake Check,789
2,Toyota,Mustang,2024,113866,71,2026-04-23,Oil Change,586
3,Honda,Civic,2025,90025,81,2026-01-04,Oil Change,753
4,Honda,Accord,2019,126292,72,2026-04-06,Battery Check,818
5,Toyota,Model3,2022,145604,72,2026-02-27,Brake Check,154
6,Toyota,Model3,2015,121180,71,2026-04-21,Tire Rotation,572
7,Honda,Mustang,2019,46202,91,2026-02-25,Oil Change,93
8,Tesla,Model3,2013,173263,65,2026-02-06,Tire Rotation,97
9,Toyota,Model3,2020,72176,82,2026-01-10,Tire Rotation,846
10,Ford,Accord,2019,66371,88,2026-02-11,Battery Check,479
11,Ford,Camry,2018,132445,69,2026-02-20,Brake Check,400
12,Ford,Civic,2015,101828,77,2026-01-05,Brake Check,289
13,BMW,Mustang,2021,92519,78,2026-01-21,Oil Change,143
14,Hyundai,Corolla,2020,43993,92,2026-02-02,Battery Check,529
15,Honda,Mustang,2013,164841,60,2026-03-07,Tire Rotation,124
16,Tesla,Accord,2016,5418,98,2026-04-11,Tire Rotation,638
17,Toyota,Corolla,2015,82436,80,2026-01-23,Brake Check,205
18,BMW,Accord,2021,129393,69,2026-02-03,Battery Check,144
19,BMW,Model3,2013,90165,78,2026-01-19,Battery Check,374
20,Tesla,Camry,2014,150732,64,2026-04-09,Oil Change,483
21,BMW,Mustang,2020,6910,98,2026-01-16,Tire Rotation,802
22,Hyundai,Camry,2015,96747,76,2026-01-26,Brake Check,667
23,Tesla,Corolla,2018,129796,68,2026-04-05,Oil Change,348
24,Toyota,Mustang,2023,174091,63,2026-02-16,Oil Change,500
25,Toyota,Camry,2022,27530,94,2026-01-27,Battery Check,818
26,Tesla,Civic,2023,28942,91,2026-02-24,Oil Change,470
27,BMW,Camry,2019,131004,67,2026-01-13,Oil Change,796
28,Ford,Corolla,2013,160480,66,2026-03-13,Battery Check,705
29,Ford,Corolla,2022,106802,80,2026-02-01,Brake Check,842
30,Tesla,Mustang,2020,170399,64,2026-03-13,Oil Change,292
31,Toyota,Mustang,2016,135033,73,2026-04-10,Brake Check,829
32,Tesla,Camry,2015,54076,88,2026-02-05,Brake Check,470
33,BMW,Model3,2015,115106,77,2026-03-27,Tire Rotation,685
34,Tesla,Accord,2023,125578,71,2026-03-22,Tire Rotation,749
35,BMW,Model3,2017,69988,83,2026-04-19,Battery Check,297
36,Honda,Camry,2022,9433,95,2026-04-08,Oil Change,191
37,BMW,Mustang,2017,155415,65,2026-01-04,Battery Check,526
38,Tesla,Camry,2022,137198,68,2026-01-11,Oil Change,131
39,Honda,Camry,2023,18770,98,2026-04-15,Tire Rotation,311
40,Toyota,Civic,2025,16776,98,2026-01-28,Oil Change,511
41,Tesla,Accord,2016,54184,88,2026-01-23,Tire Rotation,153
42,Tesla,Corolla,2024,130732,70,2026-04-09,Tire Rotation,537
43,BMW,Accord,2025,106119,81,2026-01-08,Oil Change,103
44,Toyota,Accord,2013,96627,82,2026-01-08,Oil Change,812
45,Tesla,Camry,2024,59907,85,2026-01-08,Tire Rotation,799
46,BMW,Accord,2014,86080,85,2026-03-25,Brake Check,827
47,BMW,Accord,2020,131227,72,2026-04-27,Tire Rotation,672
48,Honda,Camry,2019,67321,88,2026-02-09,Tire Rotation,156
